轮次	用户输入（示例）	阶段A (Preprocessing)	阶段B (VLM Inference)	阶段C (Grounding & Mapping)	阶段D (Action Dispatching)	总耗时（到TTS发起）
1	整理桌子	0.302s	13.13s	0.007s	1.116s	14.26s
2	现在这样放可以吗	0.457s	10.16s	0.007s	1.110s	11.28s
3	风扇位置不好	0.309s	5.84s	0.001s	1.116s	6.96s
4	书架和水果放中间难受	0.310s	5.92s	0.001s	1.117s	7.04s
5	是像现在这样放吗	0.309s	6.94s	0.006s	1.116s	8.07s
6	风扇放书架上	0.310s	6.57s	0.001s	1.112s	7.69s
7	能看到大水壶吗	0.309s	3.62s	0.000s	0.009s	3.63s
8	粉色水杯放哪里	0.307s	4.27s	0.001s	1.113s	5.38s
9	浅黄色水壶放哪里	0.314s	3.52s	0.000s	0.008s	3.53s
10	书架前是什么	0.310s	3.90s	0.001s	1.103s	5.00s
11	书架前是什么（第二次）	0.308s	2.83s	0.005s	1.109s	3.95s
12	粉色风扇右边是什么	0.308s	3.53s	0.001s	1.104s	4.64s
13	白色保温瓶放哪里	0.310s	3.55s	0.002s	1.105s	4.66s
14	是像现在这样吗	0.311s	2.23s	0.000s	0.010s	2.24s
15	香蕉橙子放哪里	0.315s	7.49s	0.001s	1.102s	8.59s
16	桌面整齐吗	0.314s	2.40s	0.000s	0.009s	2.41s
17	现在整齐了	0.308s	2.19s	0.000s	0.009s	2.20s


轮次	用户输入（示例）	阶段A (Preprocessing)	阶段B (VLM Inference)	阶段C (Grounding & Mapping)	阶段D (Action Dispatching)	总耗时（到TTS发起）
1	桌面非常乱，帮忙整理	0.309s	12.34s	0.003s	0.015s	12.35s
2	香蕉橙子放哪里	0.301s	7.45s	0.001s	0.009s	7.47s
3	香蕉橙子像现在这样放	0.302s	5.59s	0.000s	0.008s	5.60s
4	书架应该放哪里	0.301s	2.63s	0.000s	0.011s	2.64s
5	黑色架子是什么	0.300s	7.27s	0.001s	0.001s	7.28s
6	显示器支架放哪里	0.304s	4.43s	0.002s	0.001s	4.45s
7	像现在这样放吗	0.303s	11.51s	0.002s	0.009s	11.52s
8	显示器支架放左侧	0.311s	6.52s	0.000s	0.009s	6.53s
9	粉色水杯放哪里	0.313s	5.82s	0.001s	0.000s	5.82s
10	一堆书放哪里	0.314s	5.74s	0.001s	0.001s	5.74s
11	白色水壶放哪里	0.302s	5.98s	0.005s	0.000s	5.99s
12	水壶放左边支架上	0.302s	6.94s	0.001s	0.008s	6.95s
13	桌面整齐了	0.302s	3.67s	0.000s	0.009s


轮次	用户输入（示例）	阶段A (Preprocessing)	阶段B (VLM Inference)	阶段C (Grounding & Mapping)	阶段D (Action Dispatching)	总耗时（到TTS发起）
1	你能听见我说话吗	0.000s	1.52s	0.000s	0.010s	1.53s
2	桌子东西多，帮忙整理	0.000s	1.74s	0.000s	0.009s	1.75s
3	你是瞎吗	0.000s	3.83s	0.000s	0.010s	3.84s
4	其实你也可以整理	0.000s	2.34s	0.000s	0.007s	2.34s
5	书应该放哪里	0.000s	1.54s	0.000s	0.033s	1.58s
6	香蕉橙子放哪里	0.000s	1.38s	0.000s	0.008s	1.39s
7	别maybe，具体放哪里	0.000s	2.18s	0.000s	0.009s	2.19s




Condition,Task Type,Preprocessing (A),VLM Inference (B),Execution (C+D),Total (s)
Experimental,With Gaze,311 ms,6597 ms,1116 ms,8.02 s
,General Chat,310 ms,2792 ms,9 ms,3.11 s
Control NoGaze,With Object,307 ms,7487 ms,7 ms,7.80 s
,General Chat,304 ms,4603 ms,9 ms,4.92 s
Control Speak,Pure Voice,0 ms,2080 ms,12 ms,2.09 s
